beta,target_idx,target_seed,repeat,repeat_seed,algorithm,fitness_variant,fidelity,gate_count
0.03,8,50,2,50002,SA,standard,0.35326005031423474,2
0.03,8,50,2,50002,EA,floor,0.5217816545672156,3
0.03,8,50,2,50002,SA,floor,0.5414793724605733,9
0.03,9,51,0,51000,EA,standard,0.49960015346873515,4
0.03,9,51,0,51000,SA,standard,0.2957919330684962,7
0.03,9,51,0,51000,EA,floor,0.49428057766929767,4
0.03,9,51,0,51000,SA,floor,0.0051935604439084905,4
0.03,9,51,1,51001,EA,standard,0.5604351909190175,5
0.03,9,51,1,51001,SA,standard,0.29944587449196197,5
0.03,9,51,1,51001,EA,floor,0.31398765857991134,3
0.03,9,51,1,51001,SA,floor,0.059209122025498245,5
0.03,9,51,2,51002,EA,standard,0.4115399491100509,4
0.03,9,51,2,51002,SA,standard,0.2649875048319787,4
0.03,9,51,2,51002,EA,floor,0.5236813457625631,4
0.03,9,51,2,51002,SA,floor,0.015243370345586336,12
0.03,10,52,0,52000,EA,standard,0.5116072606194398,3
0.03,10,52,0,52000,SA,standard,0.45363965589210087,5
0.03,10,52,0,52000,EA,floor,0.47332381558227066,4
0.03,10,52,0,52000,SA,floor,0.3509497480420855,2
0.03,10,52,1,52001,EA,standard,0.5507528654549888,6
0.03,10,52,1,52001,SA,standard,0.3840165557967595,2
0.03,10,52,1,52001,EA,floor,0.48361243834736056,3
0.03,10,52,1,52001,SA,floor,0.012714576859168932,9
0.03,10,52,2,52002,EA,standard,0.4772000158701654,3
0.03,10,52,2,52002,SA,standard,0.3122143555770322,5
0.03,10,52,2,52002,EA,floor,0.5394230736169068,4
0.03,10,52,2,52002,SA,floor,0.565512049697414,12
0.03,11,53,0,53000,EA,standard,0.5799755070620993,4
0.03,11,53,0,53000,SA,standard,0.6444052075815152,6
0.03,11,53,0,53000,EA,floor,0.628278615768415,5
0.03,11,53,0,53000,SA,floor,0.5954366434738355,3
0.03,11,53,1,53001,EA,standard,0.5306273014405075,5
0.03,11,53,1,53001,SA,standard,0.6093638985740129,3
0.03,11,53,1,53001,EA,floor,0.6685311936578595,5
0.03,11,53,1,53001,SA,floor,0.537847581914555,3
0.03,11,53,2,53002,EA,standard,0.5550897867640447,3
0.03,11,53,2,53002,SA,standard,0.5283245475634616,6
0.03,11,53,2,53002,EA,floor,0.6453132769647266,4
0.03,11,53,2,53002,SA,floor,0.5224552831500852,4
0.03,12,54,0,54000,EA,standard,0.5833206160284691,4
0.03,12,54,0,54000,SA,standard,0.5580037343492549,3
0.03,12,54,0,54000,EA,floor,0.6110611739664717,4
0.03,12,54,0,54000,SA,floor,0.0018737078138292619,1
0.03,12,54,1,54001,EA,standard,0.5606091380623912,4
0.03,12,54,1,54001,SA,standard,0.36715515939534277,3
0.03,12,54,1,54001,EA,floor,0.4814873137579842,4
0.03,12,54,1,54001,SA,floor,0.012232009146297053,7
0.03,12,54,2,54002,EA,standard,0.6029211329056656,3
0.03,12,54,2,54002,SA,standard,0.4134567002558026,3
