algorithm,target_idx,n_repeats,mean_fidelity,std_fidelity,mean_gate_count,std_gate_count
EA,0,5,0.3714059506909036,0.04921008093079852,4.2,1.16619037896906
EA,1,5,0.4909749196540095,0.07220212830643334,6.4,0.7999999999999999
EA,2,5,0.4368573023564328,0.026624450391045443,4.8,1.16619037896906
EA,3,5,0.3433245194918999,0.026775201847755548,5.0,1.6733200530681511
EA,4,5,0.41914604736819233,0.0735263879079964,4.4,0.7999999999999999
EA,5,5,0.40448706491833014,0.059044798820712056,5.4,0.48989794855663565
EA,6,5,0.6053866435174753,0.07598813983045895,7.0,0.6324555320336759
EA,7,5,0.5584092958941921,0.02378336324056089,5.6,0.7999999999999999
EA,8,5,0.585851277630959,0.0496229959238321,5.6,1.3564659966250536
EA,9,5,0.511748689965537,0.038085100722527195,5.8,1.469693845669907
EA,10,5,0.5779248641590673,0.02807815628955192,6.2,0.9797958971132712
EA,11,5,0.6352564438944993,0.029856915973124044,4.4,1.0198039027185568
EA,12,5,0.5883959811486486,0.04545593056899139,6.0,1.6733200530681511
EA,13,5,0.36387124960724526,0.006755333822818462,3.6,0.4898979485566356
EA,14,5,0.5194918821961216,0.015341819890266352,5.6,0.48989794855663565
EA,15,5,0.5098371981757565,0.009792423610508296,5.2,0.9797958971132712
EA,16,5,0.39321974738229737,0.01494731867511656,4.8,0.9797958971132712
EA,17,5,0.3520286349145064,0.06456436434810338,5.8,2.1354156504062622
EA,18,5,0.35166614246280864,0.0745029406255501,5.2,1.6
EA,19,5,0.43635137530363266,0.04991959162255051,4.8,1.32664991614216
SA,0,5,0.32646382568454085,0.04665578115711306,5.6,2.4166091947189146
SA,1,5,0.3932852129173556,0.059866651173179665,8.6,4.841487374764082
SA,2,5,0.3737342986467224,0.06710296164263503,7.6,4.8
SA,3,5,0.37914381787498774,0.03825512190342443,6.4,1.4966629547095764
SA,4,5,0.3714670651796044,0.04961047269418522,7.6,3.7202150475476548
SA,5,5,0.2993944681437042,0.03486964896661264,5.6,2.244994432064365
SA,6,5,0.45015723874106967,0.10363989721600957,6.2,2.3151673805580453
SA,7,5,0.406001955876987,0.07700558109234984,7.0,3.03315017762062
SA,8,5,0.48630883037516803,0.09529278729924465,5.8,2.039607805437114
SA,9,5,0.33030258048524536,0.10178488011857936,5.8,1.469693845669907
SA,10,5,0.44871513090401455,0.09789941239382238,6.6,2.870540018881465
SA,11,5,0.5746719807748144,0.08390141646525905,6.0,1.6733200530681511
SA,12,5,0.4998451670376757,0.07951781777137715,5.8,1.32664991614216
SA,13,5,0.3106362329716984,0.06640609696669898,8.0,4.049691346263317
SA,14,5,0.3590668043557307,0.07636789231459938,4.6,3.006659275674582
SA,15,5,0.3841137054021989,0.08537906194202523,7.0,4.1952353926806065
SA,16,5,0.32739873976867745,0.03384096496103195,5.0,1.6733200530681511
SA,17,5,0.2671766731829152,0.027683341592671693,6.6,2.4979991993593593
SA,18,5,0.244218189082864,0.023580113794907525,5.6,1.3564659966250536
SA,19,5,0.3483665574545918,0.03529415068172637,5.8,1.8330302779823358
