run_id,algorithm,n_targets,mean_fidelity,std_fidelity,mean_gate_count,std_gate_count
20260706_143856,EA,10,0.40571385291750683,0.09133839254123284,4.7,1.4866068747318506
20260706_143856,SA,10,0.5409099045274811,0.11787817980368069,14.8,11.391224692718513
20260708_235019,EA,10,0.40571385291750683,0.09133839254123284,4.7,1.4866068747318506
20260708_235019,SA,10,0.5409099045274811,0.11787817980368069,14.8,11.391224692718513
20260709_001709,EA,10,0.40571385291750683,0.09133839254123284,4.7,1.4866068747318506
20260709_001709,SA,10,0.5409099045274811,0.11787817980368069,14.8,11.391224692718513
20260709_003547,EA,10,0.40571385291750683,0.09133839254123284,4.7,1.4866068747318506
20260709_003547,SA,10,0.5409099045274811,0.11787817980368069,14.8,11.391224692718513
20260709_005722,EA,10,0.40571385291750683,0.09133839254123284,4.7,1.4866068747318506
20260709_005722,SA,10,0.47488334630725076,0.122979036311086,7.8,3.1874754901018454
20260718_160740,EA,10,0.40571385291750683,0.09133839254123284,4.7,1.4866068747318506
20260718_160740,SA,10,0.47488334630725076,0.122979036311086,7.8,3.1874754901018454
20260718_162342,EA,10,0.4984111470673168,0.089761485928232,5.8,1.5999999999999999
20260718_162342,SA,10,0.5144570567626079,0.08943100800333106,8.0,2.6832815729997477
20260718_175554,EA,20,0.4615650490033711,0.11404097686439287,4.85,1.2359207094308275
20260718_175554,SA,20,0.38428260686385307,0.10914887214367282,6.05,3.185514087239295
20260809_215244,EA,20,0.4619994577435203,0.09799204203077737,5.2,1.6613247725836149
20260809_215244,SA,20,0.38428260686385307,0.10914887214367282,6.05,3.185514087239295
20260809_220540,EA,20,0.4619994577435203,0.09799204203077737,5.2,1.6613247725836149
20260809_220540,SA,20,0.38428260686385307,0.10914887214367282,6.05,3.185514087239295
20260810_022623,EA,20,0.4619994577435203,0.09799204203077737,5.2,1.6613247725836149
20260810_022623,SA,20,0.38428260686385307,0.10914887214367282,6.05,3.185514087239295
20260811_190147,EA,20,0.4619994577435203,0.09799204203077737,5.2,1.6613247725836149
20260811_190147,SA,20,0.38428260686385307,0.10914887214367282,6.05,3.185514087239295
