condition,n_evaluations_per_run,n_samples,mean_fidelity,std_fidelity,within_target_std,across_target_std,mean_fitness,within_target_std_fitness,mean_gate_count,mean_wall_clock_seconds,std_wall_clock_seconds
EA,6700,100,0.4675245171224972,0.1138006419575975,0.039564338823847654,0.10406507861398302,0.41902451712249744,0.032997058411355015,4.85,4.624573576450348,1.5203784607557635
SA_standard,336,100,0.37902342374302833,0.10533099870729258,0.06419770260737265,0.07943071752219809,0.31542342374302834,0.05733685079454369,6.36,0.3331578040122986,0.13525546964979956
SA_matched,6700,100,0.5644784716408534,0.10446709469468446,0.043601281895140606,0.09062576728010158,0.47947847164085333,0.03553495737130167,8.5,6.762759268283844,1.8152556339032218
SA_matched_retuned,6700,100,0.5582987015591384,0.10698368892896692,0.04253700145031918,0.0947373988064313,0.4715987015591383,0.035959159819902456,8.67,6.644066293239593,1.8632279108985037
